sesame oil,cooling,stomach,,,,,,,,
sesame seed,cooling,large intestine,liver,,,,,,,
shark,cooling,heart,liver,lung,spleen,stomach,,,,
shitake mushroom,liver,qi,spleen,stomach,,,,,,
shrimp,liver,stagnation,spleen,yang,stomach,warming,,,,
sorghum,large intestine,lung,spleen,stomach,warming,,,,,
soy milk,spleen,stomach,,,,,,,,
soy sauce,spleen,stomach,,,,,,,,
soybean,liver,neutral,spleen,,,,,,,
soybean oil,cooling,large intestine,,,,,,,,
spelt,spleen,,,,,,,,,
spinach,cooling,large intestine,liver,stomach,yin,,,,,
squash,large intestine,lung,qi,spleen,stomach,warming,,,,
squid,liver,,,,,,,,,
star anise,liver,spleen,,,,,,,,
star fruit,bladder,large intestine,lung,spleen,stomach,,,,,
strawberry,cooling,liver,lung,spleen,stomach,,,,,
string beans,neutral,spleen,yin,,,,,,,
sunflower seed,large intestine,spleen,warming,,,,,,,
sweet potato,large intestine,qi,spleen,stomach,warming,,,,,
sweet rice,lung,neutral,spleen,stomach,,,,,,
swiss chard,large intestine,lung,spleen,stomach,,,,,,
tamarind,large intestine,small intestine,,,,,,,,
tangerine,lung,spleen,stomach,warming,,,,,,
tangerine peel,stagnation,,,,,,,,,
thyme,bladder,heart,lung,phlegm,spleen,yang,warming,,,
tofu,cooling,large intestine,spleen,stomach,yin,,,,,
tomato,cooling,liver,stomach,yin,,,,,,
tripe,neutral,,,,,,,,,
trout,gall bladder,liver,qi,stomach,,,,,,
tuna,neutral,spleen,stomach,,,,,,,
turkey,cooling,spleen,stomach,,,,,,,
turmeric,liver,stagnation,spleen,warming,,,,,,
turnip,damp,lung,spleen,stomach,,,,,,
turtle,cooling,,,,,,,,,
venison,stagnation,yang,warming,,,,,,,
vinegar,stagnation,stomach,,,,,,,,
walnut,large intestine,lung,yang,warming,,,,,,
warm milk,calm,,,,,,,,,
water chesnut,bladder,large intestine,liver,lung,spleen,stomach,,,,
watercress,bladder,large intestine,lung,spleen,stomach,,,,,
watermelon,bladder,cooling,heart,stomach,,,,,,
wheat,calm,heart,spleen,yin,,,,,,
wheat bran,cooling,large intestine,stomach,,,,,,,
wheat fluor,cooling,,,,,,,,,
wheat germ,heart,large intestine,small intestine,,,,,,,
white pepper,large intestine,small intestine,stomach,,,,,,,
white radish,cooling,,,,,,,,,
white sugar,lung,spleen,stomach,,,,,,,
whitefish,liver,lung,spleen,stomach,,,,,,
wild rice,bladder,,,,,,,,,
yam,lung,neutral,qi,spleen,,,,,,
yellow croaker,neutral,,,,,,,,,
yellow soybean,large intestine,stomach,,,,,,,,
yogurt,cooling,large intestine,liver,lung,stomach,,,,,
zucchini,lung,spleen,stomach,,,,,,,
